Α/Α,Module,Τίτλος κανόνα,Κατηγορία,Κατάσταση,Είδος,Άρθρο,Τίτλος άρθρου στο πρότυπο,Παράγραφοι,Πλήθος ¶,Δείγμα κειμένου
75,M22a,Ρήτρες «Μέτρων» Εξυγίανσης (BRRD),A,ΕΝΤΟΠΙΣΤΗΚΕ,ΟΡΟΣ,17,ΚΑΤΑΓΓΕΛΙΑ ΣΥΜΒΑΣΗΣ,¶309–309,1,"Ο Ανάδοχος αναγνωρίζει και αποδέχεται, ότι η Τράπεζα αποτελεί έναν εποπτευόμενο χρηματοπιστωτικό οργανισμό, ο οποίος υπόκειται σε ειδικό νομοθετικό και κανονιστικό πλαίσι…"
76,M22a,Ρήτρες «Μέτρων» Εξυγίανσης (BRRD),B,ΕΝΤΟΠΙΣΤΗΚΕ,ΟΡΟΣ,15,ΚΑΤΑΓΓΕΛΙΑ ΤΗΣ ΣΥΜΒΑΣΗΣ,¶344–344,1,"Η Εταιρεία αναγνωρίζει και αποδέχεται, ότι η Τράπεζα αποτελεί έναν εποπτευόμενο χρηματοπιστωτικό οργανισμό, ο οποίος υπόκειται σε ειδικό νομοθετικό και κανονιστικό πλαίσι…"
77,M22b,Υποχρέωση υποστήριξης μετάβασης (exit plan),A,ΕΝΤΟΠΙΣΤΗΚΕ,ΟΡΟΣ,17,ΚΑΤΑΓΓΕΛΙΑ ΣΥΜΒΑΣΗΣ,¶307–307,1,"Σε περίπτωση λύσης της παρούσας για οποιοδήποτε λόγο, η Εταιρεία θα συνδράμει την Τράπεζα, εφόσον ζητηθεί από τον τελευταίο, για τη διατήρηση της επιχειρηματικής συνέχεια…"
78,M22b,Υποχρέωση υποστήριξης μετάβασης (exit plan),B,ΕΝΤΟΠΙΣΤΗΚΕ,ΟΡΟΣ,15,ΚΑΤΑΓΓΕΛΙΑ ΤΗΣ ΣΥΜΒΑΣΗΣ,¶337–337,1,"Σε περίπτωση λύσης της παρούσας για οποιοδήποτε λόγο, η Εταιρεία θα συνδράμει την Τράπεζα, εφόσον αυτό ζητηθεί από την τελευταία, λαμβάνοντας υπόψη τα θέματα επεξεργασίας…"
79,M23,ΑΝΩΤΕΡΑ ΒΙΑ,A,ΕΝΤΟΠΙΣΤΗΚΕ,ΑΡΘΡΟ,18,ΚΑΤΑΓΓΕΛΙΑ ΛΟΓΩ ΑΝΩΤΕΡΑΣ ΒΙΑΣ,¶322–326,5,"Κανένας από τους συμβαλλόμενους δεν ευθύνεται για μη εκπλήρωση, λόγω γεγονότος ανωτέρας βίας, οποιασδήποτε υποχρέωσής του που απορρέει από την παρούσα. Εν τούτοις, εάν έν…"
80,M23,ΑΝΩΤΕΡΑ ΒΙΑ,B,ΕΝΤΟΠΙΣΤΗΚΕ,ΑΡΘΡΟ,16,ΑΝΩΤΕΡΑ ΒΙΑ,¶358–361,4,"Τα Συμβαλλόμενα Μέρη δεν φέρουν οποιαδήποτε ευθύνη για την εκ μέρους τους μη εκπλήρωση ή παραβίαση οποιωνδήποτε συμβατικών υποχρεώσεών τους, που οφείλονται σε λόγους Ανωτ…"
81,M23,ΑΝΩΤΕΡΑ ΒΙΑ,C,ΕΝΤΟΠΙΣΤΗΚΕ,ΑΡΘΡΟ,14,ΑΝΩΤΕΡΑ ΒΙΑ,¶216–219,4,Τα Συμβαλλόμενα Μέρη δεν φέρουν οποιαδήποτε ευθύνη για την εκ μέρους τους μη εκπλήρωση ή παράβαση οποιωνδήποτε συμβατικών υποχρεώσεών τους που οφείλονται σε λόγους Ανωτέρ…
82,M24,ΠΝΕΥΜΑΤΙΚΗ ΙΔΙΟΚΤΗΣΙΑ,A,ΕΝΤΟΠΙΣΤΗΚΕ,ΑΡΘΡΟ,19,ΠΝΕΥΜΑΤΙΚΗ ΙΔΙΟΚΤΗΣΙΑ,¶327–348,22,"i) Ο Ανάδοχος βεβαιώνει και εγγυάται προς την Τράπεζα ότι τυγχάνει νόμιμος κάτοχος και χρήστης όλων των απαιτούμενων από το νόμο εξουσιοδοτήσεων, αδειών και συμβάσεων χρή…"
83,M24,ΠΝΕΥΜΑΤΙΚΗ ΙΔΙΟΚΤΗΣΙΑ,B,ΕΝΤΟΠΙΣΤΗΚΕ,ΑΡΘΡΟ,10,ΠΝΕΥΜΑΤΙΚΗ ΙΔΙΟΚΤΗΣΙΑ,¶229–239,11,"Η Εταιρεία βεβαιώνει και εγγυάται προς την Τράπεζα ότι τυγχάνει νόμιμος κάτοχος και χρήστης όλων των απαιτούμενων από το νόμο εξουσιοδοτήσεων, αδειών και συμβάσεων χρήσης…"
84,M24,ΠΝΕΥΜΑΤΙΚΗ ΙΔΙΟΚΤΗΣΙΑ,C,ΕΝΤΟΠΙΣΤΗΚΕ,ΑΡΘΡΟ,10,ΠΝΕΥΜΑΤΙΚΗ ΙΔΙΟΚΤΗΣΙΑ,¶162–178,17,"Η Εταιρεία βεβαιώνει και εγγυάται προς την Τράπεζα ότι τυγχάνει νόμιμος κάτοχος και χρήστης όλων των απαιτούμενων από το νόμο εξουσιοδοτήσεων, αδειών και συμβάσεων χρήσης…"
